ID_Intervention,Date,ID_Machine,Type_Panne,Duree_Arret_h,Technicien,Pieces_Changees
INT-00044,2024-06-17,PMP-001,Vibrations Anormales,48.75,Marie Simon,-
INT-00045,2024-05-06,PMP-004,Panne Électrique,16.25,Julie Moreau,"Câble 3G2.5, Courroie HTD 800-8M"
INT-00046,2024-07-24,PMP-009,Usure Normale,38.50,M. Dupont,Huile ISO VG 68
INT-00047,2024-11-03,CNC-004,Usure Normale,46.75,Julie Moreau,Capteur inductif M12
INT-00048,2024-01-28,CVY-003,Panne Électrique,37.50,Marie Simon,"Disjoncteur C16, Relais temporisé"
INT-00049,2024-08-14,PMP-003,Panne Hydraulique,18.50,Alexandre Petit,"Huile ISO VG 68, Fusible 10A"
INT-00050,2024-02-10,CVY-006,Def. Lubrification,33.00,S.Bernard,Relais temporisé
INT-00051,2024-11-14,CMP-010,Usure Normale,12.25,Thomas Laurent,Filtre hydraulique HF35
INT-00052,2024-06-02,PMP-007,Panne Électrique,36.50,Pierre Rodriguez,Joint torique NBR 40x3
INT-00053,2024-05-21,CMP-010,Panne Mécanique,4.75,Julie Moreau,Disjoncteur C16
INT-00054,2024-04-17,CMP-003,Panne Mecanique,26.00,Thomas Laurent,Contacteur LC1D09
INT-00055,03.02.2024,PMP-004,Fuite,40.25,Isabelle Garcia,"Graisse lithium NLGI 2, Courroie HTD 800-8M"
INT-00056,2024-02-09,PMP-003,Usure Normale,17.50,Nicolas Michel,Câble 3G2.5
INT-00057,2024-08-02,CNC-001,Panne Électrique,16.75,Pierre Rodriguez,Aucune
INT-00058,2024-01-11,CVY-001,Défaut Lubrification,24.00,Marie Simon,Filtre hydraulique HF35
INT-00059,2024-09-24,CMP-005,Panne Pneumatique,19.50,Nicolas Michel,"Capteur inductif M12, Disjoncteur C16"
INT-00060,2024-05-31,CNC-007,Panne Hydraulique,47.25,Thomas Laurent,
INT-00061,2024-05-02,CMP-006,Panne Hydraulique,7.75,Sophie Bernard,"Electrovanne 5/2, Vérin pneumatique ISO 6432"
INT-00062,2024-03-15,CVY-002,Panne Mécanique,26.00,Julie Moreau,
INT-00063,2024-12-24,CNC-007,Panne Hydraulique,47.50,Martin Dupont,"Roulement SKF 6205, Filtre hydraulique HF35"
INT-00064,2024-12-09,CNC-006,Usure normale,5.00,Céline Lefebvre,"Contacteur LC1D09, Variateur ATV320"
INT-00065,2024-03-16,PMP-001,Panne Électrique,22.25,Alexandre Petit,Contacteur LC1D09
INT-00066,2024-01-19,MOT-009,Panne Pneumatique,9.25,Isabelle Garcia,Disjoncteur C16 - Roulement SKF 6205 - Filtre hydraulique HF35
INT-00067,2024-05-16,PMP-005,Panne Mécanique,47h30,Martin Dupont,Graisse lithium NLGI 2
INT-00068,2024-11-29,CVY-002,Surchauffe,14.00,Martin Dupont,Roulement SKF 6205
INT-00069,2024-09-16,CMP-008,Panne Mécanique,37.25,S.Bernard,"Contacteur LC1D09, Joint torique NBR 40x3, Disjoncteur C16"
INT-00070,2024-11-11,CVY-005,Surchauffe,12.50,Sophie Bernard,Courroie HTD 800-8M
INT-00071,2024-12-04,CNC-005,Fuite,33.00,Isabelle Garcia,Variateur ATV320 / Courroie HTD 800-8M
INT-00072,2024-12-18,CNC-009,Panne Hydraulique,5.00,Alexandre Petit,Courroie HTD 800-8M
INT-00073,2024-04-14,MOT-006,Surchauffe,36.75,Martin Dupont,"Graisse lithium NLGI 2, Contacteur LC1D09"
INT-00074,2024-08-04,PMP-006,Usure Normale,43.00,Marie Simon,Courroie HTD 800-8M
INT-00075,2024-03-22,CVY-007,Panne Mécanique,32.00,Alexandre Petit,"Fusible 10A, Joint torique NBR 40x3"
INT-00076,2024-06-08,MOT-008,Usure Normale,15.00,Isabelle Garcia,"Graisse lithium NLGI 2, Variateur ATV320, Electrovanne 5/2"
INT-00077,2024-07-24,PMP-009,Défaut Capteur,26.25,Julie Moreau,Courroie HTD 800-8M / Huile ISO VG 68
INT-00078,2024-05-24,CVY-001,Fuite,47.75,Julie Moreau,Huile ISO VG 68
INT-00079,2024-08-21,CNC-003,Défaut Lubrification,38h45,Alexandre Petit,"Disjoncteur C16, Filtre hydraulique HF35"
INT-00080,2024-02-09,CNC-007,Usure Normale,10.75,Pierre Rodriguez,Graisse lithium NLGI 2
INT-00081,2024-05-01,CVY-004,Défaut Lubrification,28.50,Julie Moreau,"Câble 3G2.5, Filtre hydraulique HF35"
INT-00082,2024-07-15,CMP-005,Fuite,7.00,Alexandre Petit,"Relais temporisé, Capteur inductif M12"
INT-00083,2024-07-05,CVY-001,Surchauffe,28.50,Julie Moreau,"Relais temporisé, Electrovanne 5/2"
INT-00084,2024-08-16,PMP-001,Panne Mécanique,27.50,Martin Dupont,"Graisse lithium NLGI 2, Fusible 10A"
INT-00085,2024-01-22,CMP-008,Panne Pneumatique,5.50,Marie Simon,"Capteur inductif M12, Graisse lithium NLGI 2"
INT-00086,2024-10-05,CMP-009,Panne Hydraulique,15.25,Sophie Bernard,Roulement SKF 6205
INT-00087,2024-06-11,CNC-004,Vibrations Anormales,17.75,Thomas Laurent,Joint torique NBR 40x3
INT-00088,2024-08-25,CVY-003,Panne Pneumatique,34.50,Isabelle Garcia,Aucune
INT-00089,2024-06-20,PMP-003,Panne Mécanique,24.75,Céline Lefebvre,Disjoncteur C16
INT-00090,2024-09-18,PMP-007,Usure Normale,1.75,Alexandre Petit,Relais temporisé
INT-00091,2024-12-24,MOT-003,Panne Hydraulique,41.25,julie moreau,"Graisse lithium NLGI 2, Huile ISO VG 68"
INT-00092,2024-03-25,MOT-009,Surchauffe,19.50,Martin Dupont,"Vérin pneumatique ISO 6432, Capteur inductif M12"
INT-00093,2024-03-13,CMP-004,Panne Hydraulique,42.75,Alexandre Petit,Huile ISO VG 68
INT-00094,2024-08-19,CMP-009,Surchauffe,30.00,Marie Simon,"Câble 3G2.5, Variateur ATV320"
INT-00095,2024-05-08,CNC-006,Panne Hydraulique,18.75,Thomas Laurent,Câble 3G2.5
INT-00096,2024-04-24,CVY-005,Défaut Lubrification,35.50,M. Dupont,
INT-00097,2024-12-21,MOT-001,Vibrations Anormales,15.25,Martin Dupont,"Relais temporisé, Roulement SKF 6205"
INT-00098,2024-02-12,CMP-008,Panne Hydraulique,3.50,Alexandre Petit,Courroie HTD 800-8M
INT-00099,2024-03-08,PMP-006,Panne Mécanique,37.25,T.Laurent,Graisse lithium NLGI 2
INT-00100,2024-06-03,MOT-006,Défaut Capteur,40.00,Julie Moreau,Disjoncteur C16
INT-00101,2024-04-14,PMP-004,Fuite,10.50,A. PETIT,Roulement SKF 6205
INT-00102,2024-04-29,MOT-009,Usure Normale,9.25,Marie Simon,Huile ISO VG 68
INT-00103,2024-07-19,MOT-008,Panne Pneumatique,26.75,Nicolas Michel,"Relais temporisé, Roulement SKF 6205"
INT-00104,2024-10-11,MOT-008,Panne Électrique,37.00,Céline Lefebvre,"Câble 3G2.5, Variateur ATV320"
INT-00105,2024-09-27,CNC-009,PANNE HYDRAULIQUE,27.25,Céline Lefebvre,
INT-00106,2024-01-01,MOT-007,Panne Hydraulique,14.00,Nicolas Michel,Electrovanne 5/2
INT-00107,2024-02-23,PMP-006,Panne Pneumatique,12h45,Alexandre Petit,"Disjoncteur C16, Variateur ATV320"
INT-00108,2024-01-30,CNC-004,Défaut capteur,1.25,Martin Dupont,Câble 3G2.5
INT-00109,2024-05-05,CMP-009,Usure Normale,28.75,Pierre Rodriguez,Fusible 10A
INT-00110,2024-11-23,CNC-002,Usure Normale,1.50,Marie Simon,"Câble 3G2.5, Electrovanne 5/2, Relais temporisé"
INT-00111,2024-02-16,PMP-004,Défaut Lubrification,33.50,Nicolas Michel,"Fusible 10A, Vérin pneumatique ISO 6432"
INT-00112,2024-10-16,CVY-007,Défaut Lubrification,11.00,Sophie Bernard,Relais temporisé
INT-00113,2024-12-29,MOT-006,Panne Electrique,1.50,Pierre Rodriguez,
INT-00114,2024-07-10,CNC-009,Panne Hydraulique,1.75,Pierre Rodriguez,
INT-00115,2024-10-16,MOT-001,Panne Electrique,30.25,Isabelle Garcia,"Huile ISO VG 68, Filtre hydraulique HF35"
INT-00116,2024-07-17,CMP-003,Panne Mecanique,28.75,A. PETIT,Contacteur LC1D09
INT-00117,2024-06-26,MOT-001,Surchauffe,24.00,Marie Simon,Roulement SKF 6205
INT-00118,2024-11-30,PMP-002,Panne Mécanique,13.50,Céline Lefebvre,Câble 3G2.5
INT-00119,2024-06-02,MOT-001,Défaut Capteur,10.75,I. Garcia,"Variateur ATV320, Joint torique NBR 40x3"
INT-00120,06-04-2024,MOT-002,Vibrations Anormales,3h30,Alexandre Petit,Relais temporisé
INT-00121,2024-07-07,CVY-005,Défaut Capteur,41.75,Céline Lefebvre,-
INT-00122,2024-04-25,CVY-007,Usure Normale,0.50,T.Laurent,"Filtre hydraulique HF35, Electrovanne 5/2, Disjoncteur C16"
INT-00123,2024-02-18,MOT-010,Surchauffe,12.75,Martin Dupont,Disjoncteur C16
INT-00124,02-03-2024,CNC-006,Fuite,47.00,Sophie Bernard,Capteur inductif M12
INT-00125,2024-03-15,CNC-003,Défaut Lubrification,22.00,Julie Moreau,Aucune
INT-00126,2024-11-18,MOT-008,,9.75,Isabelle Garcia,
INT-00127,2024-08-24,PMP-005,Panne Mecanique,37.25,Marie Simon,Contacteur LC1D09
INT-00128,2024-03-19,MOT-006,Panne Hydraulique,18.00,Isabelle Garcia,"Contacteur LC1D09, Relais temporisé, Courroie HTD 800-8M"
INT-00129,2024-01-04,PMP-007,Panne Mécanique,47.75,Alexandre Petit,N/A
INT-00130,2024-10-17,CVY-001,Panne Électrique,22.50,Martin Dupont,"Câble 3G2.5, Disjoncteur C16"
INT-00131,2024-08-06,PMP-009,Défaut Capteur,6.75,Sophie Bernard,N/A
INT-00132,2024-06-06,CNC-006,Vibrations Anormales,25.00,Nicolas Michel,Courroie HTD 800-8M
INT-00133,2024-07-26,MOT-001,Panne Hydraulique,1h15,Sophie Bernard,Contacteur LC1D09; Roulement SKF 6205; Graisse lithium NLGI 2
INT-00134,2024-05-23,CMP-002,Défaut Capteur,8.50,Sophie Bernard,"Relais temporisé, Vérin pneumatique ISO 6432"
INT-00135,2024-12-09,CMP-003,Panne Pneumatique,2.25,Julie Moreau,"Fusible 10A, Contacteur LC1D09"
INT-00136,2024-08-09,CMP-009,Défaut Lubrification,18.00,Nicolas Michel,Capteur inductif M12
INT-00137,2024-07-22,CNC-006,Surchauffe,36.25,Martin Dupont,"Graisse lithium NLGI 2, Relais temporisé"
INT-00138,2024-10-02,CMP-008,Panne Hydraulique,29.50,Céline Lefebvre,Câble 3G2.5
INT-00139,2024-08-12,CMP-006,Défaut Capteur,8.00,Isabelle Garcia,"Graisse lithium NLGI 2, Fusible 10A"
INT-00140,2024-08-22,CMP-008,Vibrations Anormales,1.50,Céline Lefebvre,"Graisse lithium NLGI 2, Contacteur LC1D09"
INT-00141,2024-04-22,MOT-001,Défaut Lubrification,21.50,Marie Simon,Contacteur LC1D09
INT-00142,2024-08-18,CNC-008,Usure Normale,46.00,Nicolas Michel,Relais temporisé
INT-00143,2024-03-19,PMP-009,Panne Pneumatique,13.75,S.Bernard,
INT-00144,2024-11-11,CNC-002,Surchauffe,43.75,Marie Simon,Electrovanne 5/2
INT-00145,2024-08-01,PMP-010,Usure Normale,44.75,Sophie Bernard,Electrovanne 5/2
INT-00146,2024-07-10,CNC-010,Panne Électrique,12.25,Nicolas Michel,
INT-00147,2024-07-04,CNC-004,Fuite,5.25,Martin Dupont,"Vérin pneumatique ISO 6432, Filtre hydraulique HF35"
INT-00148,2024-10-25,PMP-003,Panne Électrique,35.25,S.Bernard,Joint torique NBR 40x3
INT-00149,2024-03-05,CMP-001,panne pneumatique,19.00,Céline Lefebvre,"Contacteur LC1D09, Electrovanne 5/2"
INT-00150,2024-03-10,MOT-003,Vibrations Anormales,43.00,Martin Dupont,Capteur inductif M12
INT-00151,2024-05-12,PMP-008,Panne Hydraulique,9.00,Nicolas Michel,Contacteur LC1D09
INT-00152,2024-09-27,CNC-003,Défaut Capteur,35.25,RODRIGUEZ,"Contacteur LC1D09, Fusible 10A"
INT-00153,2024-10-09,MOT-008,Fuite,1.75,Marie Simon,"Vérin pneumatique ISO 6432, Filtre hydraulique HF35"
INT-00154,2024-04-07,PMP-002,,30.75,Julie Moreau,Graisse lithium NLGI 2
INT-00155,2024-01-28,CMP-002,surchauffe,7.00,Céline Lefebvre,Câble 3G2.5
INT-00156,2024-03-07,MOT-001,Panne Pneumatique,27.25,Isabelle Garcia,"Relais temporisé, Roulement SKF 6205, Graisse lithium NLGI 2"
INT-00157,2024-04-17,CVY-006,Panne Mécanique,34.2,Nicolas Michel,"Roulement SKF 6205, Vérin pneumatique ISO 6432, Contacteur LC1D09"
INT-00158,2024-04-16,CVY-009,Fuite,15.50,A. PETIT,Filtre hydraulique HF35
INT-00159,2024-01-16,PMP-001,Usure Normale,31.50,Sophie Bernard,Graisse lithium NLGI 2
INT-00160,2024-12-26,CMP-007,Défaut Lubrification,9.25,Martin Dupont,"Huile ISO VG 68, Graisse lithium NLGI 2"
INT-00161,2024-01-24,CMP-009,Panne Électrique,18.75,Marie Simon,Filtre hydraulique HF35
INT-00162,2024-05-23,MOT-001,Panne Mécanique,0.75,Martin Dupont,"Vérin pneumatique ISO 6432, Graisse lithium NLGI 2"
INT-00163,2024-10-16,CVY-005,Défaut Capteur,25.00,Thomas Laurent,Capteur inductif M12
INT-00164,2024-10-20,PMP-003,Panne Pneumatique,25.75,Marie Simon,Filtre hydraulique HF35
INT-00165,2024-04-26,PMP-002,Panne Pneumatique,30.00,Alexandre Petit,
INT-00166,2024-07-02,CNC-007,Panne Pneumatique,24.25,Céline Lefebvre,"Joint torique NBR 40x3, Electrovanne 5/2, Courroie HTD 800-8M"
INT-00167,2024-12-04,CMP-010,Panne Électrique,33.50,Martin Dupont,Joint torique NBR 40x3
INT-00168,2024-04-18,CMP-005,Défaut Capteur,29.25,Thomas Laurent,"Disjoncteur C16, Huile ISO VG 68, Relais temporisé"
INT-00169,2024-02-16,PMP-004,Fuite,40.50,Alexandre Petit,"Vérin pneumatique ISO 6432, Huile ISO VG 68"
INT-00170,2024-01-14,CMP-009,Panne Électrique,14.00,Isabelle Garcia,Câble 3G2.5
INT-00171,2024-08-17,CVY-007,Panne Hydraulique,34.25,julie moreau,"Variateur ATV320, Capteur inductif M12, Joint torique NBR 40x3"
INT-00172,2024-10-13,CNC-010,Défaut Lubrification,21.75,Pierre Rodriguez,Disjoncteur C16
INT-00173,2024-09-07,CVY-006,Surchauffe,45.25,Sophie Bernard,"Courroie HTD 800-8M, Vérin pneumatique ISO 6432"
INT-00174,2024-11-08,CVY-010,Surchauffe,16.00,Sophie Bernard,
INT-00175,2024-03-21,PMP-002,Défaut Capteur,13.00,Alexandre Petit,"Courroie HTD 800-8M, Roulement SKF 6205"
INT-00176,2024-12-09,CMP-010,Panne Mécanique,9.50,Thomas Laurent,"Fusible 10A, Câble 3G2.5"
INT-00177,2024-10-08,PMP-002,Panne Électrique,9:00,Alexandre Petit,"Huile ISO VG 68, Vérin pneumatique ISO 6432, Variateur ATV320"
INT-00178,2024-11-18,PMP-002,,23.50,Nicolas Michel,Relais temporisé
INT-00179,2024-07-17,CVY-008,Défaut Lubrification,18.00,Marie Simon,
INT-00180,2024-05-26,CNC-009,Panne Hydraulique,0.75,Celine Lefebvre,Aucune
INT-00181,2024-08-19,CNC-007,Défaut Lubrification,32.00,Thomas Laurent,"Joint torique NBR 40x3, Câble 3G2.5"
INT-00182,2024-09-26,CVY-007,Défaut Lubrification,17.75,Nicolas Michel,"Joint torique NBR 40x3, Contacteur LC1D09"
INT-00183,2024-08-04,CMP-009,,2.75,Pierre Rodriguez,Electrovanne 5/2
INT-00184,2024-03-12,PMP-005,Panne Mécanique,36.00,A. PETIT,"Joint torique NBR 40x3, Câble 3G2.5"
INT-00185,2024-04-07,PMP-007,Défaut Lubrification,14.25,Thomas Laurent,Contacteur LC1D09
INT-00186,2024-10-25,CVY-004,Panne Électrique,32.50,Celine Lefebvre,"Roulement SKF 6205, Relais temporisé"
INT-00187,2024-10-14,CVY-004,Panne Pneumatique,29.00,Sophie Bernard,Capteur inductif M12
INT-00188,2024-01-23,MOT-001,Panne Pneumatique,0 heures 45 min,Marie Simon,"Huile ISO VG 68, Courroie HTD 800-8M, Fusible 10A"
INT-00189,2024-04-23,CVY-004,Défaut Capteur,22.50,Julie Moreau,Roulement SKF 6205
INT-00190,2024-03-18,MOT-002,Panne Mécanique,23.25,Julie Moreau,"Variateur ATV320, Huile ISO VG 68"
INT-00191,2024-12-22,CVY-006,Panne Hydraulique,15.50,Isabelle Garcia,Huile ISO VG 68
INT-00192,2024-04-27,CVY-005,Vibrations Anormales,10.25,Marie Simon,"Huile ISO VG 68, Contacteur LC1D09"
INT-00193,2024-09-03,PMP-004,Panne Mécanique,45.00,Julie Moreau,Courroie HTD 800-8M
INT-00194,2024-01-17,PMP-003,panne pneumatique,9.50,Céline Lefebvre,"Joint torique NBR 40x3, Filtre hydraulique HF35, Relais temporisé"
INT-00195,2024-06-24,CMP-002,Défaut Capteur,12.25,Isabelle Garcia,"Courroie HTD 800-8M, Roulement SKF 6205"
INT-00196,2024-05-14,CMP-010,Def. Lubrification,29.25,Julie Moreau,"Courroie HTD 800-8M, Relais temporisé"
INT-00197,2024-09-05,CMP-003,Panne Pneumatique,14.00,Martin Dupont,Huile ISO VG 68
INT-00198,2024-10-10,MOT-006,panne pneumatique,46.25,M. Dupont,"Disjoncteur C16, Huile ISO VG 68, Joint torique NBR 40x3"
INT-00199,2024-02-05,CMP-001,Vibrations Anormales,31.75,M. Dupont,"Contacteur LC1D09, Joint torique NBR 40x3"
INT-00200,2024-09-01,MOT-001,Vibrations Anormales,28.00,Martin Dupont,-
INT-00201,2024-04-21,CMP-003,Usure Normale,21.25,Céline Lefebvre,Courroie HTD 800-8M
INT-00202,2024-05-16,CVY-004,Panne Hydraulique,38.75,julie moreau,Filtre hydraulique HF35
INT-00203,2024-10-16,PMP-007,Panne Pneumatique,25.00,Isabelle Garcia,Electrovanne 5/2
INT-00204,2024-02-23,PMP-004,Panne Hydraulique,40.25,Nicolas Michel,
INT-00205,2024-06-30,CVY-009,Surchauffe,9.50,Isabelle Garcia,"Câble 3G2.5, Electrovanne 5/2"
INT-00206,2024-05-14,CNC-001,PANNE HYDRAULIQUE,43.50,Thomas Laurent,Vérin pneumatique ISO 6432
INT-00207,2024-05-14,MOT-004,Défaut Lubrification,41.25,Marie Simon,-
INT-00208,2024-01-31,PMP-008,Panne Électrique,1.75,Pierre Rodriguez,Disjoncteur C16
INT-00209,2024-08-26,CNC-007,Défaut Capteur,13 heures 45 min,Céline Lefebvre,Courroie HTD 800-8M
INT-00210,2024-07-20,MOT-010,Def. Lubrification,3.25,Marie Simon,N/A
INT-00211,2024-01-02,CNC-005,Défaut Capteur,19.00,Céline Lefebvre,"Filtre hydraulique HF35, Câble 3G2.5, Courroie HTD 800-8M"
INT-00212,2024-12-01,MOT-005,Panne Pneumatique,37.25,Céline Lefebvre,"Variateur ATV320, Contacteur LC1D09"
INT-00213,2024-06-21,MOT-002,Vibrations Anormales,17.2,Isabelle Garcia,Vérin pneumatique ISO 6432
INT-00214,2024-09-06,CMP-002,Panne Électrique,28.25,Sophie Bernard,"Roulement SKF 6205, Graisse lithium NLGI 2, Câble 3G2.5"
INT-00215,2024-05-13,CMP-008,Panne Mécanique,43.50,Martin Dupont,"Joint torique NBR 40x3, Capteur inductif M12, Filtre hydraulique HF35"
INT-00216,2024-12-25,CVY-003,Défaut Capteur,0.50,Thomas Laurent,Aucune
INT-00217,2024-04-05,PMP-007,Défaut Capteur,42.75,Alexandre Petit,Joint torique NBR 40x3
INT-00218,2024-03-31,PMP-007,Panne Hydraulique,12.50,Thomas Laurent,"Disjoncteur C16, Courroie HTD 800-8M"
INT-00219,2024-05-12,CVY-009,Panne Pneumatique,38.50,Thomas Laurent,"Filtre hydraulique HF35, Câble 3G2.5"
INT-00220,2024-07-21,PMP-007,Vibration Anormale,26:00,Martin Dupont,Câble 3G2.5
INT-00221,2024-05-20,CNC-004,Défaut Lubrification,39.00,Sophie Bernard,-
INT-00222,2024-07-20,CMP-007,Panne Électrique,44.25,Céline Lefebvre,Disjoncteur C16
INT-00223,2024-01-25,CMP-003,Défaut Lubrification,19.25,Céline Lefebvre,
INT-00224,2024-04-26,CMP-010,Usure normale,29.25,Sophie Bernard,Courroie HTD 800-8M
INT-00225,2024-08-16,CMP-005,Panne Mécanique,0.00,Julie Moreau,Huile ISO VG 68
INT-00226,2024-11-06,CNC-001,Panne Électrique,5.75,Thomas Laurent,"Roulement SKF 6205, Vérin pneumatique ISO 6432"
INT-00227,2024-05-08,MOT-002,Panne Hydraulique,10.0.50,Céline Lefebvre,"Courroie HTD 800-8M, Electrovanne 5/2"
INT-00228,2024-12-16,CVY-004,Panne Hydraulique,6.0.25,Pierre Rodriguez,Câble 3G2.5
INT-00229,2024-06-26,PMP-010,Usure Normale,21.25,Céline Lefebvre,Graisse lithium NLGI 2
INT-00230,2024-06-10,PMP-006,Panne Électrique,14.25,Céline Lefebvre,"Electrovanne 5/2, Disjoncteur C16"
INT-00231,2024-08-11,CVY-006,Fuite,5.00,Sophie Bernard,Fusible 10A
INT-00232,2024-12-29,CMP-003,Fuite,6.00,Thomas Laurent,Roulement SKF 6205
INT-00233,2024-11-06,CNC-007,Panne Pneumatique,18.00,Pierre Rodriguez,"Graisse lithium NLGI 2, Relais temporisé"
INT-00234,2024-06-15,CVY-001,surchauffe,34.00,T.Laurent,"Courroie HTD 800-8M, Fusible 10A"
INT-00235,2024-09-05,MOT-008,Surchauffe,47h00,Marie Simon,
INT-00236,2024-05-06,CMP-004,Panne Pneumatique,21.75,Martin Dupont,"Electrovanne 5/2, Fusible 10A"
INT-00237,2024-06-02,PMP-008,Panne Mécanique,10.50,Isabelle Garcia,"Vérin pneumatique ISO 6432, Disjoncteur C16, Graisse lithium NLGI 2"
INT-00238,2024-04-27,CVY-003,Défaut Lubrification,31.75,Julie Moreau,"Joint torique NBR 40x3, Roulement SKF 6205, Contacteur LC1D09"
INT-00239,2024-03-23,MOT-009,Fuite,46.75,Alexandre Petit,Electrovanne 5/2
INT-00240,28-10-2024,MOT-009,Défaut Capteur,2.75,Nicolas Michel,Vérin pneumatique ISO 6432
INT-00241,2024-11-23,CVY-009,Surchauffe,33.25,Nicolas Michel,"Disjoncteur C16, Electrovanne 5/2"
INT-00242,2024-10-23,PMP-010,Défaut Capteur,29.25,N.Michel,"Electrovanne 5/2, Fusible 10A, Vérin pneumatique ISO 6432"
INT-00243,2024-07-11,CNC-006,Surchauffe,27.75,Marie Simon,Graisse lithium NLGI 2
INT-00244,2024-12-31,CNC-001,Panne Électrique,5.50,Isabelle Garcia,Graisse lithium NLGI 2
